STT,Tinh_TP_Cu,Xa_Phuong_Truoc_Sap_Nhap,Xa_Phuong_Moi_TPHCM,Latitude,Longitude
1,TP.HCM,"Phường Bến Nghé, một phần phường Đa Kao và Nguyễn Thái Bình",Phường Sài Gòn,10.7791966,106.6999282
2,TP.HCM,Phường Tân Định và một phần phường Đa Kao,Phường Tân Định,10.790563,106.6944598
3,TP.HCM,"Các phường Bến Thành, Phạm Ngũ Lão, một phần phường Cầu Ông Lãnh và Nguyễn Thái Bình",Phường Bến Thành,10.7703806,106.6951066
4,TP.HCM,"Các phường Nguyễn Cư Trinh, Cầu Kho, Cô Giang, một phần phường Cầu Ông Lãnh",Phường Cầu Ông Lãnh,10.7629746,106.6910898
5,TP.HCM,"Các phường 1, 2, 3, 5, một phần phường 4 (Quận 3)",Phường Bàn Cờ,10.7711767,106.683061
6,TP.HCM,"Các phường Võ Thị Sáu, một phần phường 4 (Quận 3)",Phường Xuân Hòa,10.7825113,106.6895281
7,TP.HCM,"Các phường 9, 11, 12, 14 (Quận 3)",Phường Nhiêu Lộc,10.7856371,106.6750721
8,TP.HCM,"Các phường 13, 16, 18, một phần phường 15 (Quận 4)",Phường Xóm Chiếu,10.7603865,106.7117133
9,TP.HCM,"Các phường 8, 9, một phần phường 2, 4 và 15 (Quận 4)",Phường Khánh Hội,10.7592587,106.7044652
10,TP.HCM,"Các phường 1, 3, một phần phường 2 và 4 (Quận 4)",Phường Vĩnh Hội,10.7558328,106.6955128
11,TP.HCM,"Các phường 1, 2, 4 (Quận 5)",Phường Chợ Quán,10.7581094,106.6807105
12,TP.HCM,"Các phường 5, 7, 9 (Quận 5)",Phường An Đông,10.7548937,106.6716249
13,TP.HCM,"Các phường 11, 12, 13, 14 (Quận 5)",Phường Chợ Lớn,10.7518172,106.658971
14,TP.HCM,"Các phường 2, 9 (Quận 6)",Phường Bình Tây,10.7494898,106.6475693
15,TP.HCM,"Các phường 1, 7, 8 (Quận 6)",Phường Bình Tiên,10.7429821,106.6433709
16,TP.HCM,"Các phường 10, 11 (Quận 6), một phần phường 16 (Quận 8)",Phường Bình Phú,10.7385058,106.6274357
17,TP.HCM,"Các phường 12, 13, 14 (Quận 6)",Phường Phú Lâm,10.7538527,106.6314752
18,TP.HCM,"Các phường Bình Thuận, Tân Thuận Đông, Tân Thuận Tây",Phường Tân Thuận,10.7504259,106.7315099
19,TP.HCM,Phường Phú Thuận và một phần phường Phú Mỹ (Quận 7),Phường Phú Thuận,10.7238594,106.7444926
20,TP.HCM,Các phường Tân Phú và một phần phường Phú Mỹ (Quận 7),Phường Tân Mỹ,10.722503,106.7283083
21,TP.HCM,"Các phường Tân Phong, Tân Quy, Tân Kiểng, Tân Hưng",Phường Tân Hưng,10.7394166,106.7038732
22,TP.HCM,"Các phường 4 (Quận 8), Rạch Ông, Hưng Phú và một phần phường 5 (Quận 8)",Phường Chánh Hưng,10.7423849,106.6779544
23,TP.HCM,"Các phường 14, 15, Xóm Củi và một phần phường 16 (Quận 8)",Phường Phú Định,10.724618,106.6298796
24,TP.HCM,"Phường 6, một phần phường 5 và 7 (Quận 8), xã An Phú Tây (Huyện Bình Chánh)",Phường Bình Đông,10.7283105,106.6379651
25,TP.HCM,"Các phường 6, 8, một phần phường 14 (Quận 10)",Phường Diên Hồng,10.7699844,106.6618762
26,TP.HCM,"Các phường 1, 2, 4, 9, 10 (Quận 10)",Phường Vườn Lài,10.765753,106.6729198
27,TP.HCM,"Các phường 12, 13, 15, một phần phường 14 (Quận 10)",Phường Hòa Hưng,10.7768505,106.6705509
28,TP.HCM,"Các phường 1, 7, 16 (Quận 11)",Phường Minh Phụng,10.7566993,106.6465801
29,TP.HCM,"Các phường 3, 10, một phần phường 8 (Quận 11)",Phường Bình Thới,10.7629692,106.6423264
30,TP.HCM,"Các phường 5, 14 (Quận 11)",Phường Hòa Bình,10.769777,106.6443804
31,TP.HCM,"Các phường 11, 15, một phần phường 8 (Quận 11)",Phường Phú Thọ,10.7658696,106.6546226
32,TP.HCM,"Các phường Tân Thới Nhất, Tân Hưng Thuận, Đông Hưng Thuận",Phường Đông Hưng Thuận,10.8373502,106.6214158
33,TP.HCM,"Các phường Tân Chánh Hiệp, Trung Mỹ Tây",Phường Trung Mỹ Tây,10.8603264,106.621309
34,TP.HCM,"Các phường Hiệp Thành (Quận 12), Tân Thới Hiệp",Phường Tân Thới Hiệp,10.8753839,106.641588
35,TP.HCM,"Các phường Thạnh Xuân, Thới An",Phường Thới An,10.8788314,106.6634466
36,TP.HCM,"Các phường Thạnh Lộc, An Phú Đông",Phường An Phú Đông,10.8655383,106.6895807
37,TP.HCM,"Các phường Bình Trị Đông B, An Lạc A, An Lạc",Phường An Lạc,10.7338426,106.6127389
38,TP.HCM,"Các phường Bình Hưng Hòa B, một phần phường Bình Trị Đông A và Tân Tạo",Phường Bình Tân,10.7921154,106.5902787
39,TP.HCM,"Xã Tân Kiên, một phần phường Tân Tạo A và Tân Tạo",Phường Tân Tạo,10.7436342,106.5839869
40,TP.HCM,"Các phường Bình Trị Đông, một phần phường Bình Hưng Hòa A và Bình Trị Đông A",Phường Bình Trị Đông,10.7673774,106.607458
41,TP.HCM,"Các phường Bình Hưng Hòa, một phần phường Sơn Kỳ và Bình Hưng Hòa A",Phường Bình Hưng Hòa,10.7980714,106.60323
42,TP.HCM,"Các phường 1, 2, 7, 17 (quận Bình Thạnh)",Phường Gia Định,10.8008668,106.6971226
43,TP.HCM,"Các phường 12, 14, 26 (quận Bình Thạnh)",Phường Bình Thạnh,10.808976,106.7069818
44,TP.HCM,"Các phường 5, 11, 13 (quận Bình Thạnh)",Phường Bình Lợi Trung,10.8225629,106.7027456
45,TP.HCM,"Các phường 19, 22, 25",Phường Thạnh Mỹ Tây,10.798645,106.7189727
46,TP.HCM,"Các phường 27, 28",Phường Bình Quới,10.823128,106.7351397
47,TP.HCM,"Các phường 1, 3 (quận Gò Vấp)",Phường Hạnh Thông,10.8202873,106.6832189
48,TP.HCM,"Các phường 5, 6 (quận Gò Vấp)",Phường An Nhơn,10.8360989,106.6854693
49,TP.HCM,"Các phường 10, 17 (quận Gò Vấp)",Phường Gò Vấp,10.8381857,106.6752201
50,TP.HCM,"Các phường 15, 16 (quận Gò Vấp)",Phường An Hội Đông,10.8499216,106.665137
51,TP.HCM,"Các phường 8, 11 (quận Gò Vấp)",Phường Thông Tây Hội,10.8420837,106.6542494
52,TP.HCM,"Các phường 12, 14 (quận Gò Vấp)",Phường An Hội Tây,10.8420405,106.6403664
53,TP.HCM,"Các phường 4, 5, 9 (quận Phú Nhuận)",Phường Đức Nhuận,10.8056416,106.6784848
54,TP.HCM,"Các phường 1, 2, 7, một phần phường 15 (quận Phú Nhuận)",Phường Cầu Kiệu,10.7990135,106.6853524
55,TP.HCM,"Các phường 8, 10, 11, 13, một phần phường 15 (quận Phú Nhuận)",Phường Phú Nhuận,10.7934084,106.6732121
56,TP.HCM,"Các phường 1, 2, 3 (quận Tân Bình)",Phường Tân Sơn Hòa,10.7971454,106.6646052
57,TP.HCM,"Các phường 4, 5, 7 (quận Tân Bình)",Phường Tân Sơn Nhất,10.7979113,106.658574
58,TP.HCM,"Các phường 6, 8, 9 (quận Tân Bình)",Phường Tân Hòa,10.7821154,106.6547199
59,TP.HCM,"Các phường 10, 11, 12 (quận Tân Bình)",Phường Bảy Hiền,10.79382,106.6489163
60,TP.HCM,"Các phường 13, 14, một phần phường 15 (quận Tân Bình)",Phường Tân Bình,10.7991337,106.6414717
61,TP.HCM,Phần còn lại phường 15 (quận Tân Bình),Phường Tân Sơn,10.8208443,106.6371457
62,TP.HCM,"Các phường Tây Thạnh, một phần phường Sơn Kỳ",Phường Tây Thạnh,10.8138716,106.6199712
63,TP.HCM,"Các phường Tân Sơn Nhì, Sơn Kỳ, một phần phường Tân Quý và Tân Thành",Phường Tân Sơn Nhì,10.8013791,106.6246876
64,TP.HCM,"Các phường Phú Thọ Hòa, một phần phường Tân Thành và Tân Quý",Phường Phú Thọ Hòa,10.7892224,106.6271827
65,TP.HCM,"Các phường Phú Trung, Hòa Thạnh, một phần phường Tân Thới Hòa và Tân Thành",Phường Tân Phú,10.7774899,106.6395211
66,TP.HCM,"Các phường Hiệp Tân, Phú Thạnh, một phần phường Tân Thới Hòa",Phường Phú Thạnh,10.7720811,106.6268036
67,TP.HCM,"Các phường Hiệp Bình Chánh, Hiệp Bình Phước, một phần phường Linh Đông",Phường Hiệp Bình,10.8488855,106.7189002
68,TP.HCM,"Các phường Bình Thọ, Linh Chiểu, Trường Thọ, một phần phường Linh Tây và Linh Đông",Phường Thủ Đức,10.840834,106.7583039
69,TP.HCM,"Các phường Bình Chiểu, Tam Phú, Tam Bình",Phường Tam Bình,10.8697749,106.7345736
70,TP.HCM,"Các phường Linh Trung, Linh Xuân, một phần phường Linh Tây",Phường Linh Xuân,10.8670257,106.7814788
71,TP.HCM,"Các phường Tân Phú (thành phố Thủ Đức), Hiệp Phú, Tăng Nhơn Phú A, Tăng Nhơn Phú B, một phần phường Long Thạnh Mỹ",Phường Tăng Nhơn Phú,10.8446206,106.7868124
72,TP.HCM,"Các phường Long Bình, một phần phường Long Thạnh Mỹ",Phường Long Bình,10.8593853,106.8301514
73,TP.HCM,"Các phường Trường Thạnh, Long Phước",Phường Long Phước,10.8124271,106.8542062
74,TP.HCM,"Các phường Phú Hữu, Long Trường",Phường Long Trường,10.793879,106.8127496
75,TP.HCM,"Các phường Thạnh Mỹ Lợi, Cát Lái",Phường Cát Lái,10.7684731,106.7704233
76,TP.HCM,"Các phường Bình Trưng Đông, Bình Trưng Tây, một phần phường An Phú (thành phố Thủ Đức)",Phường Bình Trưng,10.7965919,106.7642319
77,TP.HCM,"Các phường Phước Bình, Phước Long A, Phước Long B",Phường Phước Long,10.8169928,106.7742368
78,TP.HCM,"Các phường Thủ Thiêm, An Lợi Đông, Thảo Điền, An Khánh, một phần phường An Phú (thành phố Thủ Đức)",Phường An Khánh,10.7886645,106.730302
79,Bình Dương,"Các phường Bình An, Bình Thắng, Đông Hòa",Phường Đông Hòa,10.8928487,106.79832
80,Bình Dương,"Các phường An Bình, Dĩ An, một phần phường Tân Đông Hiệp",Phường Dĩ An,10.9001708,106.7547606
81,Bình Dương,"Các phường Tân Bình, một phần phường Thái Hòa và Tân Đông Hiệp",Phường Tân Đông Hiệp,10.9369572,106.7644293
82,Bình Dương,"Các phường An Phú (thành phố Thuận An), một phần phường Bình Chuẩn",Phường An Phú,10.9586655,106.737088
83,Bình Dương,Phường Bình Hòa và một phần phường Vĩnh Phú,Phường Bình Hòa,10.9037957,106.7265437
84,Bình Dương,"Các phường Bình Nhâm, Lái Thiêu, một phần phường Vĩnh Phú",Phường Lái Thiêu,10.9045161,106.6999877
85,Bình Dương,"Các phường Hưng Định, An Thạnh, Xã An Sơn",Phường Thuận An,10.9423711,106.6837106
86,Bình Dương,"Các phường Thuận Giao, Bình Chuẩn",Phường Thuận Giao,10.9622528,106.7090419
87,Bình Dương,"Các phường Phú Cường, Phú Thọ, Chánh Nghĩa, một phần phường Hiệp Thành (thành phố Thủ Dầu Một), Chánh Mỹ",Phường Thủ Dầu Một,10.9686364,106.6640302
88,Bình Dương,"Các phường Phú Hòa, Phú Lợi, một phần phường Hiệp Thành (thành phố Thủ Dầu Một)",Phường Phú Lợi,10.9877112,106.6805845
89,Bình Dương,"Các phường Định Hòa, Tương Bình Hiệp, một phần phường Hiệp An và Chánh Mỹ",Phường Chánh Hiệp,11.0186207,106.64171
90,Bình Dương,"Các phường Phú Mỹ (thành phố Thủ Dầu Một), Hòa Phú, Phú Tân, Phú Chánh",Phường Bình Dương,11.0525935,106.6891287
91,Bình Dương,"Các phường Tân Định (thành phố Bến Cát), Hòa Lợi",Phường Hòa Lợi,11.0829247,106.6559116
92,Bình Dương,"Các phường Tân An, Xã Phú An, Hiệp An",Phường Phú An,11.0486457,106.6020209
93,Bình Dương,"Phường An Tây, một phần xã Thanh Tuyền và xã An Lập",Phường Tây Nam,11.131335,106.5313116
94,Bình Dương,"Phường An Điền, xã Long Nguyên, một phần phường Mỹ Phước",Phường Long Nguyên,11.1680146,106.5619764
95,Bình Dương,"Xã Tân Hưng (huyện Bàu Bàng), xã Lai Hưng, một phần phường Mỹ Phước",Phường Bến Cát,11.2043317,106.6154659
96,Bình Dương,"Phường Chánh Phú Hòa, Xã Hưng Hòa",Phường Chánh Phú Hòa,11.1882823,106.6687875
97,Bình Dương,"Phường Vĩnh Tân, Thị trấn Tân Bình",Phường Vĩnh Tân,11.1378977,106.6989786
98,Bình Dương,"Xã Bình Mỹ (huyện Bắc Tân Uyên), Phường Hội Nghĩa",Phường Bình Cơ,11.1524742,106.7438477
99,Bình Dương,"Phường Uyên Hưng, Xã Bạch Đằng, Xã Tân Lập, một phần xã Tân Mỹ",Phường Tân Uyên,11.0914515,106.7990398
100,Bình Dương,"Các phường Khánh Bình, Tân Hiệp",Phường Tân Hiệp,11.061716,106.7431668
101,Bình Dương,"Các phường Thạnh Phước, Tân Phước Khánh, Tân Vĩnh Hiệp, một phần phường Thái Hòa và xã Thạnh Hội",Phường Tân Khánh,10.999374,106.7406558
102,Bà Rịa - Vũng Tàu,"Các phường 1, 2, 3, 4, 5 (thành phố Vũng Tàu), Thắng Nhì, Thắng Tam",Phường Vũng Tàu,10.3537998,107.0743635
103,Bà Rịa - Vũng Tàu,"Các phường 7, 8, 9 (thành phố Vũng Tàu), Nguyễn An Ninh",Phường Tam Thắng,10.3686942,107.1009025
104,Bà Rịa - Vũng Tàu,"Các phường 10 (thành phố Vũng Tàu), Thắng Nhất, Rạch Dừa",Phường Rạch Dừa,10.3909975,107.1090865
105,Bà Rịa - Vũng Tàu,"Các phường 11, 12 (thành phố Vũng Tàu)",Phường Phước Thắng,10.4252072,107.1671096
106,Bà Rịa - Vũng Tàu,"Xã Tân Hưng (thành phố Bà Rịa), Kim Dinh, Long Hương",Phường Long Hương,10.5070464,107.1476608
107,Bà Rịa - Vũng Tàu,"Các phường Phước Trung, Phước Nguyên, Long Toàn, Phước Hưng",Phường Bà Rịa,10.4948224,107.1849886
108,Bà Rịa - Vũng Tàu,"Các phường Long Tâm, Xã Hòa Long, Xã Long Phước",Phường Tam Long,10.5289996,107.2147604
109,Bà Rịa - Vũng Tàu,"Các phường Tân Hòa, Tân Hải",Phường Tân Hải,10.5158702,107.1079712
110,Bà Rịa - Vũng Tàu,"Các phường Phước Hòa, Tân Phước",Phường Tân Phước,10.5280288,107.0532037
111,Bà Rịa - Vũng Tàu,"Các phường Phú Mỹ (thành phố Phú Mỹ), Mỹ Xuân",Phường Phú Mỹ,10.6019767,107.0521099
112,Bà Rịa - Vũng Tàu,"Các phường Hắc Dịch, Xã Sông Xoài",Phường Tân Thành,10.6657629,107.136983
113,TP.HCM,Xã Vĩnh Lộc A và một phần xã Phạm Văn Hai,Xã Vĩnh Lộc,10.8265123,106.5518034
114,TP.HCM,"Các xã Vĩnh Lộc B, một phần xã Phạm Văn Hai và một phần phường Tân Tạo",Xã Tân Vĩnh Lộc,10.7908707,106.5447791
115,TP.HCM,"Các xã Lê Minh Xuân, Bình Lợi",Xã Bình Lợi,10.7533121,106.5131428
116,TP.HCM,"Thị trấn Tân Túc, Xã Tân Nhựt, một phần phường Tân Tạo A, xã Tân Kiên và phường 16 (Quận 8)",Xã Tân Nhựt,10.7079037,106.5675867
117,TP.HCM,"Các xã Tân Quý Tây, Bình Chánh, An Phú Tây",Xã Bình Chánh,10.6638681,106.5703407
118,TP.HCM,"Các xã Đa Phước, Qui Đức, Hưng Long",Xã Hưng Long,10.6591544,106.645572
119,TP.HCM,"Các xã Phong Phú, xã Bình Hưng, một phần phường 7 (Quận 8)",Xã Bình Hưng,10.705303,106.6525989
120,TP.HCM,"Các xã Tam Thôn Hiệp, Bình Khánh, một phần xã An Thới Đông",Xã Bình Khánh,10.5958922,106.8790677
121,TP.HCM,Xã Lý Nhơn và một phần xã An Thới Đông,Xã An Thới Đông,10.5020916,106.8092139
122,TP.HCM,"Xã Long Hòa (huyện Cần Giờ), Thị trấn Cần Thạnh",Xã Cần Giờ,10.4147541,106.9714754
123,TP.HCM,"Các xã Tân Phú Trung, Tân Thông Hội, Phước Vĩnh An",Xã Củ Chi,10.9617664,106.5335564
124,TP.HCM,"Thị trấn Củ Chi, Xã Phước Hiệp, Xã Tân An Hội",Xã Tân An Hội,10.970179,106.4637699
125,TP.HCM,"Các xã Trung Lập Thượng, Phước Thạnh, Thái Mỹ",Xã Thái Mỹ,11.03753,106.4353672
126,TP.HCM,"Các xã Phú Mỹ Hưng, An Phú, An Nhơn Tây",Xã An Nhơn Tây,11.101795,106.4813178
127,TP.HCM,"Các xã Phạm Văn Cội, Trung Lập Hạ, Nhuận Đức",Xã Nhuận Đức,11.0295786,106.4986658
128,TP.HCM,"Các xã Tân Thạnh Tây, Tân Thạnh Đông, Phú Hòa Đông",Xã Phú Hòa Đông,10.9887911,106.5562008
129,TP.HCM,"Các xã Bình Mỹ (huyện Củ Chi), Hòa Phú, Trung An",Xã Bình Mỹ,10.9801665,106.6101461
130,TP.HCM,"Các xã Thới Tam Thôn, Nhị Bình, Đông Thạnh",Xã Đông Thạnh,10.8981946,106.6361448
131,TP.HCM,"Các xã Tân Hiệp (huyện Hóc Môn), Xã Tân Xuân, Thị trấn Hóc Môn",Xã Hóc Môn,10.8860463,106.5927134
132,TP.HCM,"Các xã Tân Thới Nhì, Xuân Thới Đông, Xuân Thới Sơn",Xã Xuân Thới Sơn,10.887924,106.5569321
133,TP.HCM,"Các xã Xuân Thới Thượng, Trung Chánh, Bà Điểm",Xã Bà Điểm,10.8402684,106.5990908
134,TP.HCM,"Thị trấn Nhà Bè, Xã Phú Xuân, Xã Phước Kiển, Xã Phước Lộc",Xã Nhà Bè,10.695397,106.7148191
135,TP.HCM,"Các xã Nhơn Đức, Long Thới, Hiệp Phước",Xã Hiệp Phước,10.6351242,106.7510876
136,Bình Dương,"Các xã Lạc An, Hiếu Liêm, Thường Tân, một phần xã Tân Mỹ",Xã Thường Tân,11.1048495,106.9194354
137,Bình Dương,"Thị trấn Tân Thành, Xã Đất Cuốc, Xã Tân Định",Xã Bắc Tân Uyên,11.1711104,106.8634945
138,Bình Dương,"Thị trấn Phước Vĩnh, xã An Bình, một phần xã Tam Lập",Xã Phú Giáo,11.3071441,106.8607982
139,Bình Dương,"Các xã Vĩnh Hòa, Phước Hòa, một phần xã Tam Lập",Xã Phước Hòa,11.2535365,106.7735395
140,Bình Dương,"Các xã Tân Hiệp (huyện Phú Giáo), An Thái, Phước Sang",Xã Phước Thành,11.3851629,106.7515368
141,Bình Dương,"Các xã An Linh, Tân Long, An Long",Xã An Long,11.3260136,106.6896139
142,Bình Dương,"Xã Trừ Văn Thố, xã Cây Trường II, một phần thị trấn Lai Uyên",Xã Trừ Văn Thố,11.3399962,106.5929507
143,Bình Dương,Phần còn lại thị trấn Lai Uyên,Xã Bàu Bàng,11.2734666,106.6057271
144,Bình Dương,"Các xã Long Tân, Long Hòa (huyện Dầu Tiếng), một phần xã Minh Tân và Minh Thạnh",Xã Long Hòa,11.3274937,106.5090895
145,Bình Dương,"Các xã Thanh An, một phần xã Định Hiệp, Thanh Tuyền và An Lập",Xã Thanh An,11.2479372,106.4314551
146,Bình Dương,"Thị trấn Dầu Tiếng, xã Định An, xã Định Thành và một phần xã Định Hiệp",Xã Dầu Tiếng,11.3307682,106.4030265
147,Bình Dương,"Xã Minh Hòa, một phần xã Minh Tân và Minh Thạnh",Xã Minh Thạnh,11.4438332,106.4655524
148,Bà Rịa - Vũng Tàu,Các xã Tóc Tiên và Châu Pha,Xã Châu Pha,10.5807114,107.1333808
149,Bà Rịa - Vũng Tàu,"Thị trấn Long Hải, xã Phước Tỉnh và xã Phước Hưng",Xã Long Hải,10.4039451,107.2307547
150,Bà Rịa - Vũng Tàu,"Thị trấn Long Điền, Xã Tam An",Xã Long Điền,10.4851113,107.2119218
151,Bà Rịa - Vũng Tàu,"Thị trấn Phước Hải, Xã Phước Hội",Xã Phước Hải,10.4257988,107.2921241
152,Bà Rịa - Vũng Tàu,"Thị trấn Đất Đỏ, Xã Long Tân (huyện Long Đất), Xã Láng Dài, Xã Phước Long Thọ",Xã Đất Đỏ,10.4899209,107.2696605
153,Bà Rịa - Vũng Tàu,"Các xã Đá Bạc, Nghĩa Thành",Xã Nghĩa Thành,10.5832288,107.2636989
154,Bà Rịa - Vũng Tàu,"Thị trấn Ngãi Giao, Xã Bình Ba, Xã Suối Nghệ",Xã Ngãi Giao,10.6471352,107.2457958
155,Bà Rịa - Vũng Tàu,"Thị trấn Kim Long, Xã Bàu Chinh, Xã Láng Lớn",Xã Kim Long,10.6991979,107.2455432
156,Bà Rịa - Vũng Tàu,"Các xã Cù Bị, Xà Bang",Xã Châu Đức,10.7278326,107.2134175
157,Bà Rịa - Vũng Tàu,"Các xã Bình Trung, Quảng Thành, Bình Giã",Xã Bình Giã,10.6791217,107.287064
158,Bà Rịa - Vũng Tàu,"Các xã Suối Rao, Xã Sơn Bình, Xã Xuân Sơn",Xã Xuân Sơn,10.6172513,107.3324779
159,Bà Rịa - Vũng Tàu,"Thị trấn Phước Bửu, Xã Phước Tân, Xã Phước Thuận",Xã Hồ Tràm,10.5250085,107.396897
160,Bà Rịa - Vũng Tàu,"Các xã Bông Trang, Xã Bưng Riềng, Xã Xuyên Mộc",Xã Xuyên Mộc,10.5498373,107.4597728
161,Bà Rịa - Vũng Tàu,"Các xã Hòa Hưng, Hòa Bình, Hòa Hội",Xã Hòa Hội,10.6267656,107.4259831
162,Bà Rịa - Vũng Tàu,"Các xã Tân Lâm, Bàu Lâm",Xã Bàu Lâm,10.737198,107.4182504
163,Bà Rịa - Vũng Tàu,Huyện Côn Đảo,Đặc khu Côn Đảo,8.6855081,106.6067254
164,Bà Rịa - Vũng Tàu,Không sáp nhập,Xã Bình Châu,10.5787466,107.5399664
165,Bà Rịa - Vũng Tàu,Không sáp nhập,Xã Hòa Hiệp,10.7080104,107.4954911
166,Bà Rịa - Vũng Tàu,Không sáp nhập,Xã Long Sơn,10.4487271,107.1028066
167,TP.HCM,Không sáp nhập,Xã Thạnh An,10.5384704,106.9766016
168,Bình Dương,Không sáp nhập,Phường Thới Hòa,11.1038232,106.6272696
